# Components of the (real space) Zeldovich power spectrum.
#              k             P_Z              b1              b2            b1^2            b2^2           b1.b2
     1.00000e-02     2.40769e+03     4.84489e+03    -3.41181e-01     2.40265e+03     2.29620e+01     4.85909e-01
     1.04762e-02     2.44946e+03     4.92867e+03    -3.65186e-01     2.44443e+03     2.29549e+01     5.34706e-01
     1.09750e-02     2.48856e+03     5.00706e+03    -3.90108e-01     2.48358e+03     2.29472e+01     5.88363e-01
     1.14976e-02     2.52469e+03     5.07948e+03    -4.15844e-01     2.51979e+03     2.29388e+01     6.47341e-01
     1.20450e-02     2.55754e+03     5.14522e+03    -4.42263e-01     2.55270e+03     2.29296e+01     7.12133e-01
     1.26186e-02     2.58669e+03     5.20352e+03    -4.69200e-01     2.58196e+03     2.29196e+01     7.83268e-01
     1.32194e-02     2.61184e+03     5.25373e+03    -4.96455e-01     2.60722e+03     2.29087e+01     8.61312e-01
     1.38489e-02     2.63258e+03     5.29507e+03    -5.23789e-01     2.62811e+03     2.28968e+01     9.46868e-01
     1.45083e-02     2.64860e+03     5.32689e+03    -5.50919e-01     2.64431e+03     2.28838e+01     1.04057e+00
     1.51991e-02     2.65956e+03     5.34852e+03    -5.77523e-01     2.65547e+03     2.28696e+01     1.14308e+00
     1.59228e-02     2.66506e+03     5.35913e+03    -6.03234e-01     2.66118e+03     2.28542e+01     1.25510e+00
     1.66810e-02     2.66473e+03     5.35799e+03    -6.27636e-01     2.66109e+03     2.28374e+01     1.37735e+00
     1.74753e-02     2.65834e+03     5.34463e+03    -6.50275e-01     2.65496e+03     2.28191e+01     1.51055e+00
     1.83074e-02     2.64561e+03     5.31851e+03    -6.70656e-01     2.64253e+03     2.27992e+01     1.65545e+00
     1.91791e-02     2.62632e+03     5.27922e+03    -6.88249e-01     2.62356e+03     2.27775e+01     1.81279e+00
     2.00923e-02     2.60027e+03     5.22631e+03    -7.02497e-01     2.59784e+03     2.27540e+01     1.98328e+00
     2.10490e-02     2.56739e+03     5.15964e+03    -7.12825e-01     2.56532e+03     2.27284e+01     2.16764e+00
     2.20513e-02     2.52770e+03     5.07931e+03    -7.18653e-01     2.52600e+03     2.27005e+01     2.36651e+00
     2.31013e-02     2.48130e+03     4.98550e+03    -7.19409e-01     2.47999e+03     2.26702e+01     2.58048e+00
     2.42013e-02     2.42833e+03     4.87852e+03    -7.14545e-01     2.42743e+03     2.26374e+01     2.81007e+00
     2.53536e-02     2.36916e+03     4.75909e+03    -7.03557e-01     2.36866e+03     2.26017e+01     3.05570e+00
     2.65609e-02     2.30425e+03     4.62819e+03    -6.85995e-01     2.30417e+03     2.25630e+01     3.31769e+00
     2.78256e-02     2.23421e+03     4.48703e+03    -6.61486e-01     2.23453e+03     2.25209e+01     3.59623e+00
     2.91505e-02     2.15975e+03     4.33704e+03    -6.29742e-01     2.16046e+03     2.24754e+01     3.89138e+00
     3.05386e-02     2.08177e+03     4.18008e+03    -5.90565e-01     2.08287e+03     2.24260e+01     4.20309e+00
     3.19927e-02     2.00124e+03     4.01806e+03    -5.43848e-01     2.00269e+03     2.23725e+01     4.53117e+00
     3.35160e-02     1.91926e+03     3.85325e+03    -4.89552e-01     1.92105e+03     2.23145e+01     4.87534e+00
     3.51119e-02     1.83699e+03     3.68794e+03    -4.27694e-01     1.83909e+03     2.22518e+01     5.23527e+00
     3.67838e-02     1.75561e+03     3.52454e+03    -3.58283e-01     1.75798e+03     2.21841e+01     5.61058e+00
     3.85353e-02     1.67632e+03     3.36542e+03    -2.81262e-01     1.67894e+03     2.21108e+01     6.00097e+00
     4.03702e-02     1.60022e+03     3.21282e+03    -1.96433e-01     1.60304e+03     2.20318e+01     6.40620e+00
     4.22924e-02     1.52828e+03     3.06868e+03    -1.03356e-01     1.53129e+03     2.19465e+01     6.82626e+00
     4.43062e-02     1.46132e+03     2.93459e+03    -1.26055e-03     1.46449e+03     2.18546e+01     7.26136e+00
     4.64159e-02     1.39988e+03     2.81163e+03     1.11064e-01     1.40320e+03     2.17557e+01     7.71206e+00
     4.86260e-02     1.34420e+03     2.70029e+03     2.35345e-01     1.34767e+03     2.16493e+01     8.17921e+00
     5.09414e-02     1.29414e+03     2.60022e+03     3.73832e-01     1.29778e+03     2.15350e+01     8.66400e+00
     5.33670e-02     1.24919e+03     2.51039e+03     5.29271e-01     1.25303e+03     2.14124e+01     9.16782e+00
     5.59081e-02     1.20839e+03     2.42880e+03     7.04732e-01     1.21247e+03     2.12810e+01     9.69207e+00
     5.85702e-02     1.17036e+03     2.35267e+03     9.03360e-01     1.17475e+03     2.11403e+01     1.02379e+01
     6.13591e-02     1.13336e+03     2.27846e+03     1.12796e+00     1.13814e+03     2.09899e+01     1.08056e+01
     6.42807e-02     1.09542e+03     2.20224e+03     1.38040e+00     1.10068e+03     2.08293e+01     1.13945e+01
     6.73415e-02     1.05459e+03     2.12004e+03     1.66103e+00     1.06040e+03     2.06581e+01     1.20020e+01
     7.05480e-02     1.00913e+03     2.02845e+03     1.96799e+00     1.01558e+03     2.04759e+01     1.26231e+01
     7.39072e-02     9.58043e+02     1.92548e+03     2.29678e+00     9.65150e+02     2.02824e+01     1.32508e+01
     7.74264e-02     9.01177e+02     1.81095e+03     2.64014e+00     9.08946e+02     2.00773e+01     1.38751e+01
     8.11131e-02     8.39524e+02     1.68692e+03     2.98844e+00     8.47898e+02     1.98602e+01     1.44848e+01
     8.49753e-02     7.75195e+02     1.55771e+03     3.33081e+00     7.84079e+02     1.96313e+01     1.50678e+01
     8.90215e-02     7.11211e+02     1.42946e+03     3.65679e+00     7.20466e+02     1.93904e+01     1.56137e+01
     9.32603e-02     6.50960e+02     1.30896e+03     3.95867e+00     6.60439e+02     1.91377e+01     1.61152e+01
     9.77010e-02     5.97454e+02     1.20222e+03     4.23366e+00     6.07029e+02     1.88734e+01     1.65706e+01
     1.02353e-01     5.52788e+02     1.11335e+03     4.48532e+00     5.62368e+02     1.85980e+01     1.69844e+01
     1.07227e-01     5.17577e+02     1.04346e+03     4.72366e+00     5.27138e+02     1.83116e+01     1.73672e+01
     1.12332e-01     4.90664e+02     9.90082e+02     4.96327e+00     5.00251e+02     1.80147e+01     1.77334e+01
     1.17681e-01     4.69259e+02     9.47495e+02     5.21931e+00     4.78983e+02     1.77074e+01     1.80965e+01
     1.23285e-01     4.49427e+02     9.07741e+02     5.50193e+00     4.59435e+02     1.73897e+01     1.84644e+01
     1.29155e-01     4.27140e+02     8.62768e+02     5.81070e+00     4.37564e+02     1.70617e+01     1.88337e+01
     1.35305e-01     3.99714e+02     8.07346e+02     6.13185e+00     4.10605e+02     1.67236e+01     1.91883e+01
     1.41747e-01     3.67106e+02     7.41612e+02     6.44072e+00     3.78403e+02     1.63756e+01     1.95025e+01
     1.48497e-01     3.32109e+02     6.71373e+02     6.71038e+00     3.43640e+02     1.60183e+01     1.97501e+01
     1.55568e-01     2.99122e+02     6.05492e+02     6.92374e+00     3.10682e+02     1.56528e+01     1.99160e+01
     1.62975e-01     2.71955e+02     5.51512e+02     7.08283e+00     2.83386e+02     1.52802e+01     2.00050e+01
     1.70735e-01     2.51990e+02     5.11972e+02     7.20922e+00     2.63254e+02     1.49016e+01     2.00408e+01
     1.78865e-01     2.37557e+02     4.83296e+02     7.33299e+00     2.48733e+02     1.45179e+01     2.00546e+01
     1.87382e-01     2.24814e+02     4.57674e+02     7.47437e+00     2.36047e+02     1.41295e+01     2.00662e+01
     1.96304e-01     2.09988e+02     4.27653e+02     7.62886e+00     2.21377e+02     1.37366e+01     2.00706e+01
     2.05651e-01     1.91965e+02     3.91247e+02     7.76850e+00     2.03472e+02     1.33399e+01     2.00398e+01
     2.15443e-01     1.72981e+02     3.53157e+02     7.86238e+00     1.84453e+02     1.29404e+01     1.99438e+01
     2.25702e-01     1.56511e+02     3.20329e+02     7.90224e+00     1.67796e+02     1.25393e+01     1.97764e+01
     2.36449e-01     1.44175e+02     2.95785e+02     7.90934e+00     1.55233e+02     1.21380e+01     1.95607e+01
     2.47708e-01     1.34550e+02     2.76484e+02     7.91352e+00     1.45456e+02     1.17373e+01     1.93283e+01
     2.59502e-01     1.24865e+02     2.56863e+02     7.92328e+00     1.35699e+02     1.13374e+01     1.90891e+01
     2.71859e-01     1.13919e+02     2.34723e+02     7.91898e+00     1.24664e+02     1.09391e+01     1.88244e+01
     2.84804e-01     1.03090e+02     2.12967e+02     7.87900e+00     1.13647e+02     1.05433e+01     1.85136e+01
     2.98365e-01     9.41250e+01     1.95010e+02     7.80724e+00     1.04430e+02     1.01513e+01     1.81616e+01
     3.12572e-01     8.68463e+01     1.80342e+02     7.72482e+00     9.69253e+01     9.76368e+00     1.77909e+01
     3.27455e-01     7.98303e+01     1.66102e+02     7.63930e+00     8.97219e+01     9.38091e+00     1.74113e+01
     3.43047e-01     7.26456e+01     1.51550e+02     7.53830e+00     8.23255e+01     9.00359e+00     1.70117e+01
     3.59381e-01     6.61200e+01     1.38378e+02     7.41505e+00     7.55412e+01     8.63261e+00     1.65860e+01
     3.76494e-01     6.05707e+01     1.27137e+02     7.27936e+00     6.97315e+01     8.26859e+00     1.61449e+01
     3.94421e-01     5.54188e+01     1.16645e+02     7.13779e+00     6.43357e+01     7.91188e+00     1.56967e+01
     4.13201e-01     5.04614e+01     1.06556e+02     6.98542e+00     5.91215e+01     7.56298e+00     1.52378e+01
     4.32876e-01     4.60093e+01     9.74943e+01     6.82142e+00     5.43973e+01     7.22243e+00     1.47678e+01
     4.53488e-01     4.20173e+01     8.93346e+01     6.65113e+00     5.01381e+01     6.89056e+00     1.42932e+01
     4.75081e-01     3.82870e+01     8.16943e+01     6.47502e+00     4.61408e+01     6.56767e+00     1.38156e+01
     4.97702e-01     3.48806e+01     7.47104e+01     6.29245e+00     4.24618e+01     6.25408e+00     1.33350e+01
     5.21401e-01     3.17957e+01     6.83650e+01     6.10586e+00     3.91067e+01     5.95000e+00     1.28546e+01
     5.46228e-01     2.89562e+01     6.25110e+01     5.91604e+00     3.59987e+01     5.65559e+00     1.23759e+01
     5.72237e-01     2.63697e+01     5.71655e+01     5.72352e+00     3.31445e+01     5.37101e+00     1.19000e+01
     5.99484e-01     2.40111e+01     5.22756e+01     5.52956e+00     3.05218e+01     5.09634e+00     1.14288e+01
     6.28029e-01     2.18561e+01     4.77958e+01     5.33480e+00     2.81059e+01     4.83162e+00     1.09634e+01
     6.57933e-01     1.98930e+01     4.37023e+01     5.14005e+00     2.58858e+01     4.57685e+00     1.05050e+01
     6.89261e-01     1.81035e+01     3.99589e+01     4.94611e+00     2.38444e+01     4.33201e+00     1.00547e+01
     7.22081e-01     1.64726e+01     3.65355e+01     4.75360e+00     2.19665e+01     4.09702e+00     9.61352e+00
     7.56463e-01     1.49868e+01     3.34056e+01     4.56306e+00     2.02393e+01     3.87179e+00     9.18216e+00
     7.92483e-01     1.36335e+01     3.05446e+01     4.37503e+00     1.86507e+01     3.65618e+00     8.76133e+00
     8.30218e-01     1.24012e+01     2.79297e+01     4.18997e+00     1.71892e+01     3.45004e+00     8.35166e+00
     8.69749e-01     1.12794e+01     2.55396e+01     4.00827e+00     1.58447e+01     3.25318e+00     7.95360e+00
     9.11163e-01     1.02583e+01     2.33553e+01     3.83029e+00     1.46075e+01     3.06542e+00     7.56753e+00
     9.54548e-01     9.32914e+00     2.13589e+01     3.65631e+00     1.34690e+01     2.88654e+00     7.19375e+00
     1.00000e+00     8.48360e+00     1.95342e+01     3.48660e+00     1.24210e+01     2.71630e+00     6.83248e+00
