Derivative of the nonlinear power spectrum - calculated with velocileptors using a linear eulerian bias b = 1.5 - with respect to m_ncdm at z=2, using the fiducial cosmological parameters listed below:
   'A_s': 2.10732e-9,
   'n_s': 0.96824,
   'alpha_s': 0.,
   'h': 0.6770,
   'N_ur': 2.0328,
   'N_ncdm': 1,
   'm_ncdm': 0.06,
   'tau_reio': 0.0568,
   'omega_b': 0.02247,
   'omega_cdm': 0.11923,
   'Omega_k': 0.

k [h/Mpc]        mu=0     mu=0.5       mu=1
-----------  ----------  ---------  ---------
 0.008       -1488.27    -2123.49   -4647.28
 0.00923308  -1751.86    -2486.37   -5396.75
 0.0104662   -1996.71    -2822.03   -6085.15
 0.0116992   -2219.87    -3126.74   -6705.87
 0.0129323   -2430.62    -3413.19   -7284.8
 0.0141654   -2633.41    -3687.54   -7834.86
 0.0153985   -2814.21    -3931.08   -8319.48
 0.0166316   -2959.45    -4125.68   -8703.23
 0.0178647   -3065.96    -4267.23   -8978.43
 0.0190977   -3142.48    -4367.66   -9169.37
 0.0203308   -3196.87    -4437.66   -9297.72
 0.0215639   -3234.98    -4485.21   -9379.63
 0.022797    -3259.35    -4513.87   -9422.61
 0.0240301   -3268.79    -4522.11   -9424.12
 0.0252632   -3262.7     -4509.25   -9382.96
 0.0264962   -3241.04    -4475.31   -9299.64
 0.0277293   -3205.82    -4423.04   -9179.71
 0.0289624   -3160.64    -4357.39   -9033.34
 0.0301955   -3107.93    -4281.67   -8867.3
 0.0314286   -3049.78    -4198.76   -8687.41
 0.0326617   -2987.91    -4110.97   -8498.42
 0.0338947   -2923.81    -4020.36   -8304.44
 0.0351278   -2858.93    -3928.88   -8109.44
 0.0363609   -2794.31    -3837.96   -7916.3
 0.037594    -2730.87    -3748.82   -7727.48
 0.0388271   -2669.22    -3662.31   -7544.62
 0.0400602   -2610.03    -3579.32   -7369.52
 0.0412932   -2553.58    -3500.21   -7202.86
 0.0425263   -2499.89    -3425.03   -7044.7
 0.0437594   -2449.12    -3353.95   -6895.36
 0.0449925   -2401.41    -3287.17   -6755.15
 0.0462256   -2356.95    -3224.9    -6624.45
 0.0474586   -2315.92    -3167.38   -6503.65
 0.0486917   -2278.19    -3114.42   -6392.35
 0.0499248   -2243.4     -3065.55   -6289.56
 0.0511579   -2211.33    -3020.4    -6194.51
 0.052391    -2181.79    -2978.76   -6106.67
 0.0536241   -2154.46    -2940.15   -6025.1
 0.0548571   -2128.9     -2903.98   -5948.59
 0.0560902   -2104.85    -2869.88   -5876.37
 0.0573233   -2081.95    -2837.39   -5807.49
 0.0585564   -2059.76    -2805.88   -5740.71
 0.0597895   -2037.98    -2774.96   -5675.21
 0.0610226   -2016.27    -2744.17   -5610.11
 0.0622556   -1994.44    -2713.25   -5544.87
 0.0634887   -1972.3     -2681.94   -5478.99
 0.0647218   -1949.67    -2650      -5411.98
 0.0659549   -1926.36    -2617.19   -5343.41
 0.067188    -1902.08    -2583.12   -5272.47
 0.0684211   -1876.77    -2547.71   -5199.09
 0.0696541   -1850.34    -2510.86   -5123.01
 0.0708872   -1822.64    -2472.35   -5043.94
 0.0721203   -1793.81    -2432.39   -4962.19
 0.0733534   -1763.8     -2390.91   -4877.7
 0.0745865   -1732.59    -2347.91   -4790.48
 0.0758195   -1700.54    -2303.84   -4701.44
 0.0770526   -1667.7     -2258.8    -4610.73
 0.0782857   -1634.13    -2212.87   -4518.59
 0.0795188   -1599.93    -2166.18   -4425.25
 0.0807519   -1565.3     -2118.99   -4331.21
 0.081985    -1530.38    -2071.5    -4236.85
 0.083218    -1495.52    -2024.15   -4143.07
 0.0844511   -1460.79    -1977.09   -4050.11
 0.0856842   -1426.4     -1930.54   -3958.37
 0.0869173   -1392.47    -1884.68   -3868.23
 0.0881504   -1359.17    -1839.72   -3780.04
 0.0893835   -1326.64    -1795.84   -3694.14
 0.0906165   -1295.03    -1753.25   -3610.92
 0.0918496   -1264.64    -1712.32   -3530.99
 0.0930827   -1235.55    -1673.16   -3454.65
 0.0943158   -1207.81    -1635.82   -3381.88
 0.0955489   -1181.42    -1600.29   -3312.63
 0.096782    -1156.35    -1566.56   -3246.95
 0.098015    -1132.65    -1534.64   -3184.71
 0.0992481   -1110.25    -1504.44   -3125.81
 0.100481    -1089.14    -1475.98   -3070.24
 0.101714    -1069.44    -1449.35   -3018.07
 0.102947    -1051.11    -1424.54   -2969.36
 0.10418     -1034.14    -1401.53   -2923.98
 0.105414    -1018.54    -1380.28   -2881.85
 0.106647    -1004.22    -1360.71   -2842.86
 0.10788      -991.026   -1342.61   -2806.53
 0.109113     -978.759   -1325.7    -2772.36
 0.110346     -967.256   -1309.78   -2740
 0.111579     -956.465   -1294.79   -2709.3
 0.112812     -946.404   -1280.72   -2680.25
 0.114045     -937.105   -1267.65   -2653.01
 0.115278     -928.382   -1255.32   -2627.08
 0.116511     -920.069   -1243.51   -2602.08
 0.117744     -912.048   -1232.08   -2577.77
 0.118977     -904.233   -1220.92   -2553.96
 0.120211     -896.559   -1209.94   -2530.49
 0.121444     -888.913   -1199.02   -2507.15
 0.122677     -881.203   -1188.02   -2483.75
 0.12391      -873.389   -1176.91   -2460.2
 0.125143     -865.42    -1165.62   -2436.41
 0.126376     -857.24    -1154.09   -2412.27
 0.127609     -848.739   -1142.18   -2387.63
 0.128842     -839.97    -1129.97   -2362.56
 0.130075     -830.923   -1117.43   -2337.05
 0.131308     -821.587   -1104.57   -2311.1
 0.132541     -811.836   -1091.23   -2284.56
 0.133774     -801.787   -1077.57   -2257.59
 0.135008     -791.471   -1063.6    -2230.27
 0.136241     -780.868   -1049.32   -2202.59
 0.137474     -769.99    -1034.76   -2174.66
 0.138707     -758.943   -1020.02   -2146.59
 0.13994      -747.738   -1005.13   -2118.41
 0.141173     -736.352    -990.084  -2090.22
 0.142406     -724.883    -974.97   -2062.07
 0.143639     -713.351    -959.814  -2033.98
 0.144872     -701.786    -944.68   -2006.14
 0.146105     -690.323    -929.705  -1978.71
 0.147338     -678.948    -914.869  -1951.6
 0.148571     -667.783    -900.345  -1925.2
 0.149805     -656.821    -886.101  -1899.35
 0.151038     -646.017    -872.073  -1873.93
 0.152271     -635.605    -858.56   -1849.46
 0.153504     -625.439    -845.37   -1825.58
 0.154737     -615.522    -832.509  -1802.29
 0.15597      -606.141    -820.318  -1780.12
 0.157203     -597.011    -808.44   -1758.46
 0.158436     -588.327    -797.117  -1737.71
 0.159669     -580.084    -786.344  -1717.85
 0.160902     -572.072    -775.855  -1698.45
 0.162135     -564.707    -766.141  -1680.19
 0.163368     -557.57     -756.704  -1662.36
 0.164602     -550.815    -747.731  -1645.24
 0.165835     -544.48     -739.258  -1628.85
 0.167068     -538.336    -731.013  -1612.79
 0.168301     -532.779    -723.457  -1597.69
 0.169534     -527.369    -716.075  -1582.85
 0.170767     -522.368    -709.181  -1568.71
 0.172        -517.588    -702.541  -1554.92
 0.173233     -513.032    -696.162  -1541.47
 0.174466     -508.73     -690.078  -1528.43
 0.175699     -504.526    -684.108  -1515.55
 0.176932     -500.567    -678.428  -1503.08
 0.178165     -496.65     -672.797  -1490.67
 0.179398     -492.92     -667.384  -1478.57
 0.180632     -489.216    -662.006  -1466.54
 0.181865     -485.592    -656.729  -1454.68
 0.183098     -481.984    -651.477  -1442.88
 0.184331     -478.4      -646.265  -1431.18
 0.185564     -474.807    -641.055  -1419.55
 0.186797     -471.207    -635.849  -1407.98
 0.18803      -467.553    -630.604  -1396.45
 0.189263     -463.86     -625.331  -1384.95
 0.190496     -460.079    -619.983  -1373.47
 0.191729     -456.247    -614.594  -1362.01
 0.192962     -452.308    -609.118  -1350.6
 0.194195     -448.318    -603.601  -1339.2
 0.195429     -444.22     -598.002  -1327.87
 0.196662     -440.074    -592.367  -1316.57
 0.197895     -435.842    -586.676  -1305.39
 0.199128     -431.569    -580.959  -1294.26
 0.200361     -427.231    -575.209  -1283.27
 0.201594     -422.855    -569.44   -1272.35
 0.202827     -418.44     -563.661  -1261.56
 0.20406      -413.995    -557.876  -1250.88
 0.205293     -409.539    -552.104  -1240.34
 0.206526     -405.071    -546.348  -1229.93
 0.207759     -400.619    -540.628  -1219.65
 0.208992     -396.193    -534.973  -1209.58
 0.210226     -391.792    -529.354  -1199.6
 0.211459     -387.485    -523.871  -1189.91
 0.212692     -383.182    -518.394  -1180.23
 0.213925     -379.031    -513.118  -1170.93
 0.215158     -374.879    -507.842  -1161.62
 0.216391     -370.888    -502.764  -1152.62
 0.217624     -366.931    -497.727  -1143.69
 0.218857     -363.111    -492.849  -1134.96
 0.22009      -359.384    -488.077  -1126.36
 0.221323     -355.741    -483.4    -1117.88
 0.222556     -352.26     -478.907  -1109.62
 0.223789     -348.792    -474.429  -1101.38
 0.225023     -345.575    -470.222  -1093.42
 0.226256     -342.358    -466.014  -1085.46
 0.227489     -339.327    -462.003  -1077.67
 0.228722     -336.363    -458.063  -1069.95
 0.229955     -333.488    -454.217  -1062.32
 0.231188     -330.752    -450.517  -1054.82
 0.232421     -328.018    -446.819  -1047.32
 0.233654     -325.479    -443.318  -1039.96
 0.234887     -322.939    -439.816  -1032.6
 0.23612      -320.495    -436.413  -1025.32
 0.237353     -318.112    -433.073  -1018.1
