  k [h/Mpc]        mu=0      mu=0.5       mu=1
-----------  ----------  ----------  ---------
 0.008        -787.084   -1141.3     -2562.24
 0.00923308   -893.395   -1290.62    -2881.17
 0.0104662    -985.532   -1419.55    -3154.94
 0.0116992   -1061.64    -1525.72    -3379.27
 0.0129323   -1125.05    -1613.76    -3563.86
 0.0141654   -1178.45    -1687.44    -3716.7
 0.0153985   -1221.12    -1745.85    -3836.35
 0.0166316   -1252.04    -1787.72    -3920.5
 0.0178647   -1271.59    -1813.65    -3970.69
 0.0190977   -1281.35    -1825.83    -3991.63
 0.0203308   -1282.56    -1826.06    -3987.17
 0.0215639   -1276.45    -1816.02    -3960.91
 0.022797    -1264.69    -1798.07    -3917.82
 0.0240301   -1248.06    -1773.32    -3860.39
 0.0252632   -1227.2     -1742.7     -3790.61
 0.0264962   -1202.76    -1707.1     -3710.49
 0.0277293   -1175.78    -1668.01    -3623.09
 0.0289624   -1147.24    -1626.78    -3531.32
 0.0301955   -1117.67    -1584.16    -3436.81
 0.0314286   -1087.5     -1540.76    -3340.89
 0.0326617   -1057.08    -1497.09    -3244.63
 0.0338947   -1026.77    -1453.64    -3149.09
 0.0351278    -996.976   -1410.98    -3055.45
 0.0363609    -967.962   -1369.47    -2964.51
 0.037594     -939.956   -1329.44    -2876.92
 0.0388271    -913.08    -1291.06    -2793.05
 0.0400602    -887.525   -1254.58    -2713.44
 0.0412932    -863.304   -1220.03    -2638.12
 0.0425263    -840.386   -1187.36    -2567.01
 0.0437594    -818.908   -1156.75    -2500.45
 0.0449925    -799.02    -1128.41    -2438.81
 0.0462256    -780.868   -1102.51    -2382.43
 0.0474586    -764.59    -1079.25    -2331.67
 0.0486917    -750.111   -1058.5     -2286.26
 0.0499248    -736.985   -1039.67    -2245
 0.0511579    -724.747   -1022.12    -2206.54
 0.052391     -713.018   -1005.31    -2169.82
 0.0536241    -701.524    -988.885   -2134.08
 0.0548571    -690.417    -973.035   -2099.67
 0.0560902    -680.069    -958.247   -2067.53
 0.0573233    -670.782    -944.929   -2038.46
 0.0585564    -662.329    -932.767   -2011.78
 0.0597895    -654.357    -921.27    -1986.51
 0.0610226    -646.512    -909.964   -1961.69
 0.0622556    -638.501    -898.445   -1936.48
 0.0634887    -630.077    -886.378   -1910.22
 0.0647218    -621.179    -873.679   -1882.72
 0.0659549    -612.128    -860.774   -1854.82
 0.067188     -603.283    -848.147   -1827.47
 0.0684211    -594.676    -835.833   -1800.73
 0.0696541    -585.826    -823.191   -1773.32
 0.0708872    -576.32     -809.662   -1744.16
 0.0721203    -566.297    -795.439   -1713.62
 0.0733534    -555.962    -780.794   -1682.24
 0.0745865    -545.428    -765.882   -1650.33
 0.0758195    -534.714    -750.731   -1617.96
 0.0770526    -523.765    -735.269   -1584.99
 0.0782857    -512.588    -719.504   -1551.46
 0.0795188    -501.23     -703.512   -1517.51
 0.0807519    -489.765    -687.385   -1483.34
 0.081985     -478.232    -671.183   -1449.06
 0.083218     -466.746    -655.059   -1415.01
 0.0844511    -455.35     -639.078   -1381.31
 0.0856842    -444.118    -623.337   -1348.15
 0.0869173    -433.095    -607.898   -1315.66
 0.0881504    -422.306    -592.799   -1283.93
 0.0893835    -411.766    -578.057   -1252.98
 0.0906165    -401.493    -563.701   -1222.88
 0.0918496    -391.558    -549.819   -1193.8
 0.0930827    -381.99     -536.463   -1165.84
 0.0943158    -372.868    -523.726   -1139.19
 0.0955489    -364.264    -511.704   -1114.01
 0.096782     -356.188    -500.423   -1090.39
 0.098015     -348.601    -489.812   -1068.14
 0.0992481    -341.429    -479.781   -1047.1
 0.100481     -334.66     -470.315   -1027.25
 0.101714     -328.341    -461.463   -1008.64
 0.102947     -322.466    -453.23     -991.326
 0.10418      -317.025    -445.591    -975.216
 0.105414     -312.001    -438.521    -960.256
 0.106647     -307.369    -431.993    -946.403
 0.10788      -303.102    -425.962    -933.553
 0.109113     -299.159    -420.373    -921.593
 0.110346     -295.499    -415.173    -910.421
 0.111579     -292.089    -410.315    -899.939
 0.112812     -288.908    -405.764    -890.067
 0.114045     -285.938    -401.507    -880.798
 0.115278     -283.142    -397.485    -871.994
 0.116511     -280.49     -393.658    -863.578
 0.117744     -277.953    -389.987    -855.477
 0.118977     -275.497    -386.429    -847.605
 0.120211     -273.088    -382.936    -839.869
 0.121444     -270.672    -379.436    -832.133
 0.122677     -268.226    -375.901    -824.341
 0.12391      -265.752    -372.332    -816.499
 0.125143     -263.245    -368.722    -808.589
 0.126376     -260.692    -365.054    -800.579
 0.127609     -258.046    -361.269    -792.37
 0.128842     -255.307    -357.364    -783.951
 0.130075     -252.469    -353.332    -775.309
 0.131308     -249.528    -349.171    -766.436
 0.132541     -246.456    -344.844    -757.289
 0.133774     -243.297    -340.409    -747.961
 0.135008     -240.062    -335.879    -738.475
 0.136241     -236.745    -331.249    -728.828
 0.137474     -233.342    -326.515    -719.028
 0.138707     -229.881    -321.712    -709.125
 0.13994      -226.364    -316.843    -699.121
 0.141173     -222.761    -311.874    -688.979
 0.142406     -219.108    -306.846    -678.759
 0.143639     -215.416    -301.774    -668.484
 0.144872     -211.697    -296.681    -658.214
 0.146105     -208.028    -291.66     -648.105
 0.147338     -204.404    -286.703    -638.138
 0.148571     -200.889    -281.901    -628.497
 0.149805     -197.451    -277.205    -619.078
 0.151038     -194.07     -272.589    -609.824
 0.152271     -190.796    -268.12     -600.87
 0.153504     -187.583    -263.739    -592.1
 0.154737     -184.435    -259.448    -583.515
 0.15597      -181.449    -255.374    -575.344
 0.157203     -178.546    -251.409    -567.381
 0.158436     -175.792    -247.643    -559.793
 0.159669     -173.191    -244.081    -552.592
 0.160902     -170.67     -240.624    -545.59
 0.162135     -168.375    -237.459    -539.11
 0.163368     -166.155    -234.395    -532.816
 0.164602     -164.063    -231.497    -526.833
 0.165835     -162.096    -228.763    -521.143
 0.167068     -160.186    -226.103    -515.586
 0.168301     -158.437    -223.65     -510.39
 0.169534     -156.733    -221.254    -505.299
 0.170767     -155.151    -219.02     -500.5
 0.172        -153.656    -216.894    -495.891
 0.173233     -152.249    -214.881    -491.474
 0.174466     -150.959    -213.018    -487.32
 0.175699     -149.714    -211.212    -483.267
 0.176932     -148.566    -209.532    -479.437
 0.178165     -147.432    -207.869    -475.637
 0.179398     -146.341    -206.261    -471.936
 0.180632     -145.251    -204.657    -468.242
 0.181865     -144.166    -203.061    -464.573
 0.183098     -143.084    -201.47     -460.919
 0.184331     -142.006    -199.887    -457.288
 0.185564     -140.932    -198.31     -453.68
 0.186797     -139.861    -196.74     -450.095
 0.18803      -138.776    -195.158    -446.507
 0.189263     -137.681    -193.567    -442.917
 0.190496     -136.552    -191.937    -439.288
 0.191729     -135.403    -190.286    -435.637
 0.192962     -134.209    -188.586    -431.934
 0.194195     -132.995    -186.863    -428.206
 0.195429     -131.737    -185.093    -424.434
 0.196662     -130.459    -183.302    -420.642
 0.197895     -129.148    -181.479    -416.832
 0.199128     -127.82     -179.639    -413.014
 0.200361     -126.47     -177.778    -409.196
 0.201594     -125.106    -175.906    -405.378
 0.202827     -123.73     -174.024    -401.575
 0.20406      -122.343    -172.136    -397.783
 0.205293     -120.954    -170.249    -394.016
 0.206526     -119.56     -168.363    -390.276
 0.207759     -118.168    -166.484    -386.563
 0.208992     -116.78     -164.616    -382.899
 0.210226     -115.397    -162.757    -379.254
 0.211459     -114.031    -160.925    -375.682
 0.212692     -112.667    -159.096    -372.115
 0.213925     -111.341    -157.321    -368.662
 0.215158     -110.014    -155.545    -365.209
 0.216391     -108.743    -153.843    -361.889
 0.217624     -107.482    -152.155    -358.598
 0.218857     -106.275    -150.533    -355.414
 0.22009      -105.103    -148.955    -352.303
