  k [h/Mpc]    covariance [h/Mpc]^5
-----------  ----------------------
 0.003                  5.50637e-05
 0.0031962              5.69859e-05
 0.00339239             5.89041e-05
 0.00358859             6.08259e-05
 0.00378478             6.27574e-05
 0.00398098             6.47033e-05
 0.00417718             6.66664e-05
 0.00437337             6.86494e-05
 0.00456957             7.06585e-05
 0.00476577             7.26985e-05
 0.00496196             7.47687e-05
 0.00515816             7.6869e-05
 0.00535435             7.8998e-05
 0.00555055             8.11755e-05
 0.00574675             8.33889e-05
 0.00594294             8.56321e-05
 0.00613914             8.79333e-05
 0.00633534             9.02732e-05
 0.00653153             9.26466e-05
 0.00672773             9.50895e-05
 0.00692392             9.75537e-05
 0.00712012             0.000100097
 0.00731632             0.000102669
 0.00751251             0.000105313
 0.00770871             0.000107996
 0.0079049              0.000110753
 0.0081011              0.000113549
 0.0082973              0.00011643
 0.00849349             0.000119334
 0.00868969             0.000122354
 0.00888589             0.000125374
 0.00908208             0.000128536
 0.00927828             0.000131713
 0.00947447             0.000134984
 0.00967067             0.000138337
 0.00986687             0.000141696
 0.0100631              0.000145246
 0.0102593              0.000148796
 0.0104555              0.000152435
 0.0106517              0.000156206
 0.0108478              0.000159977
 0.011044               0.000163907
 0.0112402              0.000167928
 0.0114364              0.00017195
 0.0116326              0.000176176
 0.0118288              0.000180481
 0.012025               0.000184787
 0.0122212              0.000189304
 0.0124174              0.000193932
 0.0126136              0.000198561
 0.0128098              0.000203347
 0.013006               0.000208344
 0.0132022              0.00021334
 0.0133984              0.000218351
 0.0135946              0.000223768
 0.0137908              0.000229185
 0.013987               0.000234602
 0.0141832              0.000240243
 0.0143794              0.000246144
 0.0145756              0.000252045
 0.0147718              0.000257946
 0.014968               0.00026424
 0.0151642              0.000270701
 0.0153604              0.000277162
 0.0155566              0.000283622
 0.0157528              0.000290568
 0.0159489              0.00029768
 0.0161451              0.000304791
 0.0163413              0.000311902
 0.0165375              0.000319456
 0.0167337              0.000327327
 0.0169299              0.000335198
 0.0171261              0.000343069
 0.0173223              0.000351119
 0.0175185              0.000359876
 0.0177147              0.000368633
 0.0179109              0.000377389
 0.0181071              0.000386146
 0.0183033              0.000395517
 0.0184995              0.000405311
 0.0186957              0.000415106
 0.0188919              0.0004249
 0.0190881              0.000434695
 0.0192843              0.000445398
 0.0194805              0.00045642
 0.0196767              0.000467442
 0.0198729              0.000478463
 0.0200691              0.000489485
 0.0202653              0.000501437
 0.0204615              0.000513923
 0.0206577              0.000526409
 0.0208539              0.000538895
 0.0210501              0.000551381
 0.0212462              0.000564325
 0.0214424              0.000578554
 0.0216386              0.000592784
 0.0218348              0.000607013
 0.022031               0.000621243
 0.0222272              0.000635473
 0.0224234              0.000650958
 0.0226196              0.000667253
 0.0228158              0.000683547
 0.023012               0.000699842
 0.0232082              0.000716136
 0.0234044              0.00073243
 0.0236006              0.000750348
 0.0237968              0.000769108
 0.023993               0.000787867
 0.0241892              0.000806626
 0.0243854              0.000825385
 0.0245816              0.000844144
 0.0247778              0.000864084
 0.024974               0.000885812
 0.0251702              0.00090754
 0.0253664              0.000929267
 0.0255626              0.000950995
 0.0257588              0.000972723
 0.025955               0.000994451
 0.0261512              0.00101908
 0.0263473              0.00104441
 0.0265435              0.00106973
 0.0267397              0.00109505
 0.0269359              0.00112037
 0.0271321              0.00114569
 0.0273283              0.00117101
 0.0275245              0.00120009
 0.0277207              0.0012297
 0.0279169              0.0012593
 0.0281131              0.00128891
 0.0283093              0.00131852
 0.0285055              0.00134813
 0.0287017              0.00137774
 0.0288979              0.0014103
 0.0290941              0.001445
 0.0292903              0.0014797
 0.0294865              0.0015144
 0.0296827              0.0015491
 0.0298789              0.0015838
 0.0300751              0.0016185
 0.0302713              0.0016532
 0.0304675              0.00169334
 0.0306637              0.00173409
 0.0308599              0.00177483
 0.0310561              0.00181557
 0.0312523              0.00185632
 0.0314484              0.00189706
 0.0316446              0.0019378
 0.0318408              0.00197855
 0.032037               0.00202515
 0.0322332              0.00207305
 0.0324294              0.00212094
 0.0326256              0.00216884
 0.0328218              0.00221673
 0.033018               0.00226462
 0.0332142              0.00231252
 0.0334104              0.00236041
 0.0336066              0.00241096
 0.0338028              0.00246722
 0.033999               0.00252349
 0.0341952              0.00257976
 0.0343914              0.00263603
 0.0345876              0.00269229
 0.0347838              0.00274856
 0.03498                0.00280483
 0.0351762              0.0028611
 0.0353724              0.00292092
 0.0355686              0.00298681
 0.0357648              0.00305271
 0.035961               0.0031186
 0.0361572              0.0031845
 0.0363534              0.0032504
 0.0365495              0.00331629
 0.0367457              0.00338219
 0.0369419              0.00344808
 0.0371381              0.00351398
 0.0373343              0.0035902
 0.0375305              0.00366694
 0.0377267              0.00374367
 0.0379229              0.00382041
 0.0381191              0.00389714
 0.0383153              0.00397388
 0.0385115              0.00405062
 0.0387077              0.00412735
