  k [h/Mpc]      delta b
-----------  -----------
 0.008       0.0253339
 0.00819119  0.0242952
 0.00838238  0.0233247
 0.00857357  0.0224164
 0.00876476  0.0215649
 0.00895596  0.0207657
 0.00914715  0.0200145
 0.00933834  0.0193074
 0.00952953  0.018641
 0.00972072  0.0180123
 0.00991191  0.0174183
 0.0101031   0.0168565
 0.0102943   0.0163245
 0.0104855   0.0158204
 0.0106767   0.0153421
 0.0108679   0.0148878
 0.0110591   0.014456
 0.0112503   0.0140452
 0.0114414   0.013654
 0.0116326   0.0132812
 0.0118238   0.0129256
 0.012015    0.0125862
 0.0122062   0.012262
 0.0123974   0.011952
 0.0125886   0.0116555
 0.0127798   0.0113716
 0.012971    0.0110997
 0.0131622   0.010839
 0.0133534   0.010589
 0.0135445   0.0103491
 0.0137357   0.0101186
 0.0139269   0.0098972
 0.0141181   0.00968432
 0.0143093   0.00947954
 0.0145005   0.00928245
 0.0146917   0.00909267
 0.0148829   0.00890983
 0.0150741   0.00873359
 0.0152653   0.00856364
 0.0154565   0.00839968
 0.0156476   0.00824142
 0.0158388   0.00808861
 0.01603     0.00794098
 0.0162212   0.00779831
 0.0164124   0.00766038
 0.0166036   0.00752697
 0.0167948   0.00739789
 0.016986    0.00727295
 0.0171772   0.00715196
 0.0173684   0.00703477
 0.0175596   0.0069212
 0.0177508   0.00681112
 0.0179419   0.00670437
 0.0181331   0.00660082
 0.0183243   0.00650034
 0.0185155   0.00640281
 0.0187067   0.00630812
 0.0188979   0.00621614
 0.0190891   0.00612679
 0.0192803   0.00603996
 0.0194715   0.00595555
 0.0196627   0.00587347
 0.0198539   0.00579365
 0.020045    0.005716
 0.0202362   0.00564043
 0.0204274   0.00556688
 0.0206186   0.00549528
 0.0208098   0.00542555
 0.021001    0.00535764
 0.0211922   0.00529148
 0.0213834   0.005227
 0.0215746   0.00516414
 0.0217658   0.00510286
 0.021957    0.00504309
 0.0221481   0.00498479
 0.0223393   0.0049279
 0.0225305   0.00487238
 0.0227217   0.00481819
 0.0229129   0.00476527
 0.0231041   0.00471359
 0.0232953   0.00466311
 0.0234865   0.00461379
 0.0236777   0.0045656
 0.0238689   0.0045185
 0.0240601   0.00447245
 0.0242513   0.00442743
