  k [h/Mpc]    inverse covariance [h/Mpc]^5
-----------  ------------------------------
 0.003                          5.50643e-05
 0.0031962                      5.6986e-05
 0.00339239                     5.8904e-05
 0.00358859                     6.08253e-05
 0.00378478                     6.27562e-05
 0.00398098                     6.47018e-05
 0.00417718                     6.66651e-05
 0.00437337                     6.86494e-05
 0.00456957                     7.06582e-05
 0.00476577                     7.26941e-05
 0.00496196                     7.47636e-05
 0.00515816                     7.68632e-05
 0.00535435                     7.8999e-05
 0.00555055                     8.11678e-05
 0.00574675                     8.33803e-05
 0.00594294                     8.56312e-05
 0.00613914                     8.79225e-05
 0.00633534                     9.0262e-05
 0.00653153                     9.26462e-05
 0.00672773                     9.50756e-05
 0.00692392                     9.75525e-05
 0.00712012                     0.000100079
 0.00731632                     0.000102659
 0.00751251                     0.000105292
 0.00770871                     0.000107982
 0.0079049                      0.000110729
 0.0081011                      0.000113535
 0.0082973                      0.000116402
 0.00849349                     0.00011933
 0.00868969                     0.000122322
 0.00888589                     0.000125378
 0.00908208                     0.000128501
 0.00927828                     0.00013169
 0.00947447                     0.000134946
 0.00967067                     0.000138289
 0.00986687                     0.000141707
 0.0100631                      0.000145197
 0.0102593                      0.000148758
 0.0104555                      0.000152401
 0.0106517                      0.000156144
 0.0108478                      0.00015996
 0.011044                       0.000163847
 0.0112402                      0.00016785
 0.0114364                      0.000171941
 0.0116326                      0.000176104
 0.0118288                      0.000180388
 0.012025                       0.00018477
 0.0122212                      0.000189221
 0.0124174                      0.000193824
 0.0126136                      0.00019851
 0.0128098                      0.000203289
 0.013006                       0.000208222
 0.0132022                      0.000213217
 0.0133984                      0.000218383
 0.0135946                      0.000223638
 0.0137908                      0.000229019
 0.013987                       0.000234547
 0.0141832                      0.000240158
 0.0143794                      0.000245971
 0.0145756                      0.000251829
 0.0147718                      0.00025794
 0.014968                       0.000264074
 0.0151642                      0.000270482
 0.0153604                      0.000276914
 0.0155566                      0.00028363
 0.0157528                      0.000290367
 0.0159489                      0.000297414
 0.0161451                      0.000304461
 0.0163413                      0.000311867
 0.0165375                      0.000319273
 0.0167337                      0.00032702
 0.0169299                      0.000334814
 0.0171261                      0.000342904
 0.0173223                      0.000351116
 0.0175185                      0.000359543
 0.0177147                      0.000368206
 0.0179109                      0.000376963
 0.0181071                      0.000386115
 0.0183033                      0.000395266
 0.0184995                      0.000404865
 0.0186957                      0.000414545
 0.0188919                      0.000424479
 0.0190881                      0.000434735
 0.0192843                      0.000444991
 0.0194805                      0.000455855
 0.0196767                      0.000466736
 0.0198729                      0.000477919
 0.0200691                      0.000489485
 0.0202653                      0.00050105
 0.0204615                      0.000513246
 0.0206577                      0.000525559
 0.0208539                      0.000538019
 0.0210501                      0.00055115
 0.0212462                      0.000564281
 0.0214424                      0.000577811
 0.0216386                      0.00059183
 0.0218348                      0.000605849
 0.022031                       0.000620492
 0.0222272                      0.000635477
 0.0224234                      0.000650462
 0.0226196                      0.000666258
 0.0228158                      0.000682294
 0.023012                       0.000698331
 0.0232082                      0.000715312
 0.0234044                      0.000732497
 0.0236006                      0.000749682
 0.0237968                      0.00076787
 0.023993                       0.000786311
 0.0241892                      0.000804752
 0.0243854                      0.000824151
 0.0245816                      0.000843969
 0.0247778                      0.000863787
 0.024974                       0.000884383
 0.0251702                      0.000905714
 0.0253664                      0.000927045
 0.0255626                      0.000948793
 0.0257588                      0.000971791
 0.025955                       0.000994789
 0.0261512                      0.00101779
 0.0263473                      0.00104244
 0.0265435                      0.00106727
 0.0267397                      0.0010921
 0.0269359                      0.00111787
 0.0271321                      0.00114471
 0.0273283                      0.00117154
 0.0275245                      0.00119837
 0.0277207                      0.00122727
 0.0279169                      0.00125628
 0.0281131                      0.0012853
 0.0283093                      0.0013151
 0.0285055                      0.00134648
 0.0287017                      0.00137787
 0.0288979                      0.00140926
 0.0290941                      0.00144227
 0.0292903                      0.00147624
 0.0294865                      0.00151022
 0.0296827                      0.00154419
 0.0298789                      0.00158049
 0.0300751                      0.00161728
 0.0302713                      0.00165408
 0.0304675                      0.00169087
 0.0306637                      0.0017305
 0.0308599                      0.00177036
 0.0310561                      0.00181022
 0.0312523                      0.00185008
 0.0314484                      0.00189303
 0.0316446                      0.00193623
 0.0318408                      0.00197943
 0.032037                       0.00202263
 0.0322332                      0.0020688
 0.0324294                      0.00211563
 0.0326256                      0.00216246
 0.0328218                      0.00220929
 0.033018                       0.00225852
 0.0332142                      0.00230929
 0.0334104                      0.00236005
 0.0336066                      0.00241082
 0.0338028                      0.00246282
 0.033999                       0.00251783
 0.0341952                      0.00257284
 0.0343914                      0.00262784
 0.0345876                      0.00268285
 0.0347838                      0.0027418
 0.03498                        0.00280136
 0.0351762                      0.00286092
 0.0353724                      0.00292049
 0.0355686                      0.00298162
 0.0357648                      0.00304605
 0.035961                       0.00311048
 0.0361572                      0.00317491
 0.0363534                      0.00323933
 0.0365495                      0.0033072
 0.0367457                      0.0033768
 0.0369419                      0.00344641
 0.0371381                      0.00351602
 0.0373343                      0.00358563
 0.0375305                      0.00366007
 0.0377267                      0.00373514
 0.0379229                      0.00381022
 0.0381191                      0.00388529
 0.0383153                      0.00396037
 0.0385115                      0.00404107
 0.0387077                      0.00412188
 0.0389039                      0.0042027
 0.0391001                      0.00428351
 0.0392963                      0.00436432
 0.0394925                      0.0044508
 0.0396887                      0.00453757
 0.0398849                      0.00462434
 0.0400811                      0.00471111
 0.0402773                      0.00479787
 0.0404735                      0.00488951
 0.0406697                      0.0049824
 0.0408659                      0.00507529
 0.0410621                      0.00516818
 0.0412583                      0.00526107
 0.0414545                      0.00535712
 0.0416507                      0.00545629
 0.0418468                      0.00555546
 0.042043                       0.00565463
 0.0422392                      0.00575379
 0.0424354                      0.00585345
 0.0426316                      0.00595907
 0.0428278                      0.00606469
 0.043024                       0.0061703
 0.0432202                      0.00627592
 0.0434164                      0.00638153
 0.0436126                      0.00649049
 0.0438088                      0.00660267
 0.044005                       0.00671485
 0.0442012                      0.00682703
 0.0443974                      0.00693921
 0.0445936                      0.00705139
 0.0447898                      0.00716884
 0.044986                       0.00728763
 0.0451822                      0.00740641
 0.0453784                      0.0075252
 0.0455746                      0.00764398
 0.0457708                      0.00776277
 0.045967                       0.00788774
 0.0461632                      0.00801309
 0.0463594                      0.00813845
 0.0465556                      0.0082638
 0.0467518                      0.00838915
 0.0469479                      0.00851451
 0.0471441                      0.00864586
 0.0473403                      0.00877764
 0.0475365                      0.00890941
 0.0477327                      0.00904119
 0.0479289                      0.00917297
 0.0481251                      0.00930475
 0.0483213                      0.00944142
 0.0485175                      0.00957955
 0.0487137                      0.00971768
 0.0489099                      0.00985581
 0.0491061                      0.00999394
 0.0493023                      0.0101321
 0.0494985                      0.0102731
 0.0496947                      0.0104176
 0.0498909                      0.0105621
 0.0500871                      0.0107066
 0.0502833                      0.0108512
 0.0504795                      0.0109957
 0.0506757                      0.0111402
 0.0508719                      0.011291
 0.0510681                      0.011442
 0.0512643                      0.011593
 0.0514605                      0.011744
 0.0516567                      0.011895
 0.0518529                      0.012046
 0.052049                       0.0121991
 0.0522452                      0.0123566
 0.0524414                      0.0125142
 0.0526376                      0.0126717
 0.0528338                      0.0128293
 0.05303                        0.0129868
 0.0532262                      0.0131444
 0.0534224                      0.0133053
 0.0536186                      0.0134698
 0.0538148                      0.0136342
 0.054011                       0.0137987
 0.0542072                      0.0139631
 0.0544034                      0.0141276
 0.0545996                      0.014292
 0.0547958                      0.0144601
 0.054992                       0.014632
 0.0551882                      0.0148039
 0.0553844                      0.0149757
 0.0555806                      0.0151476
 0.0557768                      0.0153195
 0.055973                       0.0154914
 0.0561692                      0.0156658
 0.0563654                      0.0158459
 0.0565616                      0.016026
 0.0567578                      0.0162061
 0.056954                       0.0163862
 0.0571502                      0.0165663
 0.0573463                      0.0167463
 0.0575425                      0.0169264
 0.0577387                      0.0171154
 0.0579349                      0.0173049
 0.0581311                      0.0174943
 0.0583273                      0.0176837
 0.0585235                      0.0178731
 0.0587197                      0.0180626
 0.0589159                      0.018252
 0.0591121                      0.0184458
 0.0593083                      0.0186462
 0.0595045                      0.0188466
 0.0597007                      0.019047
 0.0598969                      0.0192473
 0.0600931                      0.0194477
 0.0602893                      0.0196481
 0.0604855                      0.0198485
 0.0606817                      0.0200573
 0.0608779                      0.0202706
 0.0610741                      0.0204839
 0.0612703                      0.0206973
 0.0614665                      0.0209106
 0.0616627                      0.0211239
 0.0618589                      0.0213372
 0.0620551                      0.0215505
 0.0622513                      0.0217748
 0.0624474                      0.0220037
 0.0626436                      0.0222325
 0.0628398                      0.0224614
 0.063036                       0.0226902
 0.0632322                      0.0229191
 0.0634284                      0.0231479
 0.0636246                      0.0233767
 0.0638208                      0.023616
 0.064017                       0.0238635
 0.0642132                      0.0241111
 0.0644094                      0.0243586
 0.0646056                      0.0246062
 0.0648018                      0.0248537
 0.064998                       0.0251013
 0.0651942                      0.0253488
 0.0653904                      0.0256008
 0.0655866                      0.0258709
 0.0657828                      0.0261411
 0.065979                       0.0264112
 0.0661752                      0.0266813
 0.0663714                      0.0269515
 0.0665676                      0.0272216
 0.0667638                      0.0274918
 0.06696                        0.0277619
 0.0671562                      0.028049
 0.0673524                      0.0283465
 0.0675485                      0.028644
 0.0677447                      0.0289415
 0.0679409                      0.029239
 0.0681371                      0.0295365
 0.0683333                      0.029834
 0.0685295                      0.0301314
 0.0687257                      0.0304289
 0.0689219                      0.0307534
 0.0691181                      0.0310838
 0.0693143                      0.0314142
 0.0695105                      0.0317446
 0.0697067                      0.0320749
 0.0699029                      0.0324053
 0.0700991                      0.0327357
 0.0702953                      0.0330661
 0.0704915                      0.0333964
 0.0706877                      0.0337582
 0.0708839                      0.034128
 0.0710801                      0.0344978
 0.0712763                      0.0348675
 0.0714725                      0.0352373
 0.0716687                      0.0356071
 0.0718649                      0.0359768
 0.0720611                      0.0363466
 0.0722573                      0.0367164
 0.0724535                      0.0371116
 0.0726496                      0.0375282
 0.0728458                      0.0379448
 0.073042                       0.0383614
 0.0732382                      0.0387781
 0.0734344                      0.0391947
 0.0736306                      0.0396113
 0.0738268                      0.0400279
 0.074023                       0.0404446
 0.0742192                      0.0408639
 0.0744154                      0.0413361
 0.0746116                      0.0418084
 0.0748078                      0.0422806
 0.075004                       0.0427529
 0.0752002                      0.0432251
 0.0753964                      0.0436974
 0.0755926                      0.0441696
 0.0757888                      0.0446419
 0.075985                       0.0451141
 0.0761812                      0.0456067
 0.0763774                      0.0461446
 0.0765736                      0.0466825
 0.0767698                      0.0472204
 0.076966                       0.0477583
 0.0771622                      0.0482962
 0.0773584                      0.0488341
 0.0775546                      0.049372
 0.0777508                      0.0499099
 0.0779469                      0.0504478
 0.0781431                      0.05101
 0.0783393                      0.0516241
 0.0785355                      0.0522381
 0.0787317                      0.0528522
 0.0789279                      0.0534662
 0.0791241                      0.0540802
 0.0793203                      0.0546943
 0.0795165                      0.0553083
 0.0797127                      0.0559223
 0.0799089                      0.0565364
 0.0801051                      0.0571569
 0.0803013                      0.0578584
 0.0804975                      0.05856
 0.0806937                      0.0592615
 0.0808899                      0.0599631
 0.0810861                      0.0606646
 0.0812823                      0.0613662
 0.0814785                      0.0620678
 0.0816747                      0.0627693
 0.0818709                      0.0634709
 0.0820671                      0.0641724
 0.0822633                      0.0649301
 0.0824595                      0.0657311
 0.0826557                      0.0665322
 0.0828519                      0.0673332
 0.083048                       0.0681343
 0.0832442                      0.0689353
 0.0834404                      0.0697364
 0.0836366                      0.0705374
 0.0838328                      0.0713385
