#           k/h    P           
   0.347046E-05   0.164610E+02
   0.376955E-05   0.178327E+02
   0.409443E-05   0.193188E+02
   0.444730E-05   0.209288E+02
   0.483058E-05   0.226729E+02
   0.524690E-05   0.245623E+02
   0.569909E-05   0.266092E+02
   0.619026E-05   0.288267E+02
   0.672376E-05   0.312290E+02
   0.730323E-05   0.338315E+02
   0.793265E-05   0.366508E+02
   0.861631E-05   0.397051E+02
   0.935890E-05   0.430139E+02
   0.101655E-04   0.465985E+02
   0.110416E-04   0.504817E+02
   0.119932E-04   0.546886E+02
   0.130268E-04   0.592461E+02
   0.141495E-04   0.641833E+02
   0.153689E-04   0.695320E+02
   0.166935E-04   0.753263E+02
   0.181322E-04   0.816036E+02
   0.196949E-04   0.884039E+02
   0.213922E-04   0.957709E+02
   0.232359E-04   0.103752E+03
   0.252384E-04   0.112398E+03
   0.274136E-04   0.121764E+03
   0.297762E-04   0.131911E+03
   0.323424E-04   0.142903E+03
   0.351298E-04   0.154811E+03
   0.381574E-04   0.167711E+03
   0.414459E-04   0.181686E+03
   0.450178E-04   0.196826E+03
   0.488976E-04   0.213226E+03
   0.531118E-04   0.230993E+03
   0.576891E-04   0.250240E+03
   0.626610E-04   0.271089E+03
   0.680613E-04   0.293676E+03
   0.739271E-04   0.318142E+03
   0.802984E-04   0.344646E+03
   0.872187E-04   0.373357E+03
   0.947356E-04   0.404456E+03
   0.102900E-03   0.438144E+03
   0.111768E-03   0.474634E+03
   0.121401E-03   0.514159E+03
   0.131864E-03   0.556970E+03
   0.143228E-03   0.603338E+03
   0.155572E-03   0.653557E+03
   0.168980E-03   0.707944E+03
   0.183543E-03   0.766843E+03
   0.199362E-03   0.830623E+03
   0.216543E-03   0.899685E+03
   0.235206E-03   0.974459E+03
   0.255476E-03   0.105541E+04
   0.277494E-03   0.114304E+04
   0.301410E-03   0.123788E+04
   0.327386E-03   0.134051E+04
   0.355601E-03   0.145156E+04
   0.386248E-03   0.157169E+04
   0.419536E-03   0.170161E+04
   0.455694E-03   0.184208E+04
   0.494967E-03   0.199393E+04
   0.537625E-03   0.215800E+04
   0.583959E-03   0.233522E+04
   0.634286E-03   0.252658E+04
   0.688951E-03   0.273309E+04
   0.748328E-03   0.295585E+04
   0.812821E-03   0.319601E+04
   0.882873E-03   0.345475E+04
   0.958962E-03   0.373334E+04
   0.104161E-02   0.403307E+04
   0.113138E-02   0.435527E+04
   0.122888E-02   0.470129E+04
   0.133479E-02   0.507252E+04
   0.144983E-02   0.547032E+04
   0.157478E-02   0.589606E+04
   0.171050E-02   0.635104E+04
   0.185792E-02   0.683653E+04
   0.201804E-02   0.735366E+04
   0.219196E-02   0.790345E+04
   0.238087E-02   0.848675E+04
   0.258606E-02   0.910418E+04
   0.280894E-02   0.975608E+04
   0.305102E-02   0.104425E+05
   0.331397E-02   0.111630E+05
